,location,location_detail,price
서울특별시,중구,주자동,0
서울특별시,중구,예장동,2461
서울특별시,중구,장충동1가,2725
서울특별시,중구,장충동2가,2546
서울특별시,중구,광희동1가,0
서울특별시,중구,광희동2가,2533
서울특별시,중구,쌍림동,2218
서울특별시,중구,을지로6가,0
서울특별시,중구,을지로7가,3333
서울특별시,중구,을지로4가,0
서울특별시,중구,을지로5가,0
서울특별시,중구,주교동,0
서울특별시,중구,방산동,0
서울특별시,중구,오장동,0
서울특별시,중구,을지로3가,0
서울특별시,중구,입정동,0
서울특별시,중구,산림동,0
서울특별시,중구,충무로3가,0
서울특별시,중구,초동,0
서울특별시,중구,인현동1가,0
서울특별시,중구,저동2가,0
서울특별시,중구,신당동,2331
서울특별시,중구,흥인동,3400
서울특별시,중구,무학동,4280
서울특별시,중구,황학동,3123
서울특별시,중구,서소문동,0
서울특별시,중구,정동,0
서울특별시,중구,순화동,0
서울특별시,중구,의주로1가,0
서울특별시,중구,충정로1가,0
서울특별시,중구,중림동,2446
서울특별시,중구,의주로2가,0
서울특별시,중구,만리동1가,2684
서울특별시,중구,만리동2가,2485
서울특별시,용산구,후암동,2446
서울특별시,용산구,용산동2가,2338
서울특별시,용산구,갈월동,2921
서울특별시,용산구,남영동,3140
서울특별시,용산구,동자동,3428
서울특별시,용산구,서계동,2568
서울특별시,용산구,청파동1가,2378
서울특별시,용산구,청파동2가,2552
서울특별시,용산구,청파동3가,2595
서울특별시,용산구,원효로1가,2915
서울특별시,용산구,원효로2가,2528
서울특별시,용산구,신창동,2536
서울특별시,용산구,산천동,3038
서울특별시,용산구,청암동,2615
서울특별시,용산구,원효로3가,2943
서울특별시,용산구,원효로4가,2751
서울특별시,용산구,효창동,2764
서울특별시,용산구,도원동,4170
서울특별시,용산구,용문동,2844
서울특별시,용산구,문배동,0
서울특별시,용산구,신계동,4083
서울특별시,용산구,한강로1가,5236
서울특별시,용산구,한강로2가,5747
서울특별시,용산구,용산동3가,4293
서울특별시,용산구,용산동5가,0
서울특별시,용산구,한강로3가,6003
서울특별시,용산구,이촌동,10414
서울특별시,용산구,이태원동,3103
서울특별시,용산구,한남동,3615
서울특별시,용산구,동빙고동,4280
서울특별시,용산구,서빙고동,3375
서울특별시,용산구,주성동,4330
서울특별시,용산구,용산동6가,0
서울특별시,용산구,보광동,4267
서울특별시,성동구,상왕십리동,3254
서울특별시,성동구,하왕십리동,2958
서울특별시,성동구,홍익동,3407
서울특별시,성동구,도선동,3094
서울특별시,성동구,마장동,2528
서울특별시,성동구,사근동,2039
서울특별시,성동구,행당동,2712
서울특별시,성동구,응봉동,2318
서울특별시,성동구,금호동1가,2753
서울특별시,성동구,금호동2가,2817
서울특별시,성동구,금호동3가,2607
서울특별시,성동구,금호동4가,2841
서울특별시,성동구,옥수동,2818
서울특별시,성동구,성수동1가,3449
서울특별시,성동구,성수동2가,3381
서울특별시,성동구,송정동,2409
서울특별시,성동구,용답동,2675
서울특별시,광진구,중곡동,2128
서울특별시,광진구,능동,2455
서울특별시,광진구,구의동,2511
서울특별시,광진구,광장동,2748
서울특별시,광진구,자양동,2777
서울특별시,광진구,노유동,0
서울특별시,광진구,화양동,3108
서울특별시,광진구,모진동,0
서울특별시,광진구,군자동,2491
서울특별시,동대문구,신설동,2349
서울특별시,동대문구,용두동,2587
서울특별시,동대문구,제기동,2322
서울특별시,동대문구,전농동,2519
서울특별시,동대문구,답십리동,2697
서울특별시,동대문구,장안동,2409
서울특별시,동대문구,청량리동,2284
서울특별시,동대문구,회기동,2193
서울특별시,동대문구,휘경동,2109
서울특별시,동대문구,이문동,2347
서울특별시,중랑구,면목동,1874
서울특별시,중랑구,상봉동,2068
서울특별시,중랑구,중화동,1903
서울특별시,중랑구,묵동,1822
서울특별시,중랑구,망우동,1846
서울특별시,중랑구,신내동,1784
서울특별시,성북구,성북동,2295
서울특별시,성북구,성북동1가,2449
서울특별시,성북구,돈암동,2281
서울특별시,성북구,동소문동1가,2636
서울특별시,성북구,동소문동2가,2617
서울특별시,성북구,동소문동3가,3085
서울특별시,성북구,동소문동4가,2327
서울특별시,성북구,동소문동5가,3392
서울특별시,성북구,동소문동6가,2501
서울특별시,성북구,동소문동7가,2663
서울특별시,성북구,삼선동1가,2240
서울특별시,성북구,삼선동2가,2520
서울특별시,성북구,삼선동3가,2425
서울특별시,성북구,삼선동4가,2697
서울특별시,성북구,삼선동5가,2698
서울특별시,성북구,동선동1가,2907
서울특별시,성북구,동선동2가,2926
서울특별시,성북구,동선동3가,2727
서울특별시,성북구,동선동4가,2627
서울특별시,성북구,동선동5가,2383
서울특별시,성북구,안암동1가,2379
서울특별시,성북구,안암동2가,2411
서울특별시,성북구,안암동3가,2254
서울특별시,성북구,안암동4가,2847
서울특별시,성북구,안암동5가,2552
서울특별시,성북구,보문동4가,2889
서울특별시,성북구,보문동5가,2458
서울특별시,성북구,보문동6가,2192
서울특별시,성북구,보문동7가,2611
서울특별시,성북구,보문동1가,2732
서울특별시,성북구,보문동2가,2580
서울특별시,성북구,보문동3가,2680
서울특별시,성북구,정릉동,1869
