,,location,표준공시지가,토지거래현황,주택거래현황,date,gdp,연평균임금,소비자물가(식료품),소비자물가(주거비),대미환률,코스피(한국주가),니케이(일본주가),다우존스(미국주가),상하이(중국주가),FTSE(영국주가),FTSE_EURO(유로),DAX(독일주가),원유(두바이),원유(Brent),원유(WTI),주택자금대출규모,한은기준금리,"소비자물가:에너지(연료,전기,가솔린)"
서울특별시,중구,을지로1가,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,을지로2가,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,남대문로1가,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,삼각동,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,수하동,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,장교동,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,수표동,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,소공동,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,남창동," 1,924 ",6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,북창동,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,태평로2가,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,남대문로2가,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,남대문로3가,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,남대문로4가,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,남대문로5가,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
